id_nasabah,usia,jumlah_tanggungan,lama_usaha_tahun,pendapatan_bulanan,saldo_tabungan,plafon_pinjaman,tenor_bulan,rasio_utang_pendapatan,skor_kredit,jumlah_keterlambatan,riwayat_pinjaman_lunas,frekuensi_transaksi_bulanan,nilai_transaksi_bulanan,segmen_usaha,wilayah,jenis_usaha,gagal_bayar
NSB0001,41,3,2.1,2838887.0,633683.0,6523518.0,8,0.391,604.0,3,4,25,2262312.0,Kecil,Jawa,Dagang,1
NSB0002,42,4,5.8,4812815.0,1324928.0,9359629.0,10,0.332,643.0,3,8,5,1223653.0,Kecil,Kalimantan,Dagang,0
NSB0003,27,0,3.0,3090978.0,943629.0,6036461.0,15,0.468,600.0,4,3,16,2830917.0,Kecil,Kalimantan,Dagang,0
NSB0004,29,2,2.7,2438848.0,944044.0,3569494.0,10,0.44,685.0,2,7,15,1151243.0,Mikro,Kalimantan,Dagang,0
NSB0005,39,4,2.3,2105407.0,612354.0,7340878.0,3,0.314,641.0,1,6,22,1522129.0,Mikro,Jawa,Dagang,0
NSB0006,24,2,2.3,2045439.0,709282.0,3768869.0,9,0.668,562.0,4,1,10,842165.0,Mikro,Jawa,Dagang,1
NSB0007,29,2,2.9,4081361.0,625970.0,6454442.0,15,0.472,583.0,3,7,32,3767561.0,Kecil,Indonesia Timur,Jasa,1
NSB0008,46,2,6.9,9112978.0,2693080.0,9399924.0,17,0.383,678.0,0,6,25,3648297.0,Menengah,Indonesia Timur,Produksi,0
NSB0009,42,3,3.8,4098017.0,1721517.0,4493273.0,10,0.429,662.0,1,6,17,2416297.0,Mikro,Kalimantan,Produksi,0
NSB0010,23,3,2.7,2960014.0,439865.0,6486892.0,9,0.706,490.0,5,1,20,1674120.0,Mikro,Kalimantan,Jasa,0
NSB0011,20,3,4.3,4747396.0,1671037.0,5720830.0,12,0.311,687.0,2,9,9,2355821.0,Kecil,Sumatera,Pertanian,0
NSB0012,26,4,3.0,3809198.0,2564398.0,8512884.0,11,0.422,697.0,0,9,15,2108406.0,Kecil,Sulawesi,Jasa,0
NSB0013,27,1,4.5,4629806.0,1423688.0,9511619.0,9,0.295,714.0,2,11,19,1641326.0,Kecil,Kalimantan,Dagang,0
NSB0014,28,2,2.5,2469176.0,590899.0,4080105.0,5,0.44,584.0,4,4,15,739193.0,Mikro,Sumatera,Dagang,0
NSB0015,38,0,3.5,4585033.0,1221651.0,7704470.0,5,0.493,621.0,2,5,4,885885.0,Kecil,Kalimantan,Produksi,0
NSB0016,36,1,4.3,8459564.0,2166217.0,7367680.0,16,0.534,593.0,3,3,28,6991734.0,Menengah,Jawa,Jasa,1
NSB0017,22,3,1.9,2163007.0,385470.0,5503947.0,3,0.404,697.0,0,14,15,3346389.0,Mikro,Jawa,Dagang,0
NSB0018,33,1,7.0,2234961.0,642262.0,8052613.0,9,0.316,597.0,4,7,5,718023.0,Mikro,Sulawesi,Jasa,0
NSB0019,20,3,0.5,1368516.0,383797.0,3017799.0,3,0.356,638.0,0,9,8,318802.0,Mikro,Sumatera,Pertanian,0
NSB0020,27,5,1.7,1552180.0,332878.0,2255106.0,3,0.615,560.0,2,1,9,1161277.0,Mikro,Sumatera,Jasa,1
NSB0021,20,5,0.6,1292310.0,317648.0,2116647.0,5,0.407,574.0,2,10,20,996496.0,Mikro,Sumatera,Dagang,1
